From*, To*, Rate, 
1, 15, 0.0321221884230635, 
1, 21, 0.00795677304520129, 
1, 39, 0.000336730994192727, 
15, 1, 0.0412861267994735, 
15, 21, 0.0500627981306753, 
15, 39, 0.00861576842916687, 
21, 1, 0.0451418145034204, 
21, 15, 0.11570663240309, 
21, 39, 0.172862566706467, 
39, 1, 0.000806976090083107, 
39, 15, 0.00112394286663054, 
39, 21, 0.0378724008917086, 
