From*, To*, Rate, 
1, 15, 0.00672591616011461, 
1, 21, 0.00172276766065806, 
15, 1, 0.00852517620672316, 
15, 21, 0.0122332338266007, 
15, 39, 0.000871700489850719, 
21, 1, 0.0102484793078652, 
21, 15, 0.0282593950495256, 
21, 39, 0.0412029174406481, 
39, 21, 0.0090448007508776, 
