From*, To*, Rate, 
1, 15, 0.366294948836815, 
1, 21, 0.000773155639140491, 
1, 39, 8.13313708521001e-05, 
15, 1, 0.0216598090031894, 
15, 21, 0.00122366528471106, 
15, 39, 0.00162615832281845, 
21, 1, 0.00375232190448974, 
21, 15, 0.074928401473594, 
21, 39, 0.722999124044059, 
39, 1, 4.82751962041903e-05, 
39, 15, 0.000413787396035917, 
39, 21, 0.00232410587440173, 
