From*, To*, Rate, 
1, 15, 0.000307142502532803, 
1, 21, 0.000140415909935948, 
15, 1, 0.0471097862656877, 
15, 21, 0.00467096011667588, 
21, 1, 0.16798813479748, 
21, 15, 0.00721849271897574, 
21, 39, 0.000863441576836077, 
