From*, To*, Rate, 
1, 15, 0.0270892920515362, 
1, 21, 0.0129886160316039, 
1, 39, 5.36039661026919e-06, 
15, 1, 0.00676664092794316, 
15, 21, 0.00878840341366159, 
15, 39, 0.000104004713254279, 
21, 1, 0.0155169406068655, 
21, 15, 0.114518665084773, 
21, 39, 0.00193558482897701, 
39, 21, 0.110737368656668, 
