From*, To*, Rate, 
1, 15, 0.0100795842645032, 
1, 21, 0.0071162716482678, 
15, 1, 0.00497496100833797, 
15, 21, 0.024732628147138, 
15, 39, 0.000446501425949347, 
21, 1, 0.0146702190929717, 
21, 15, 0.0367450007008668, 
21, 39, 0.0241139836181254, 
39, 21, 0.0113607296393466, 
